name_point,cluster,code_point,lat,long,y_proj,x_proj
Parque (JLBYR IV),27,CL27_PP_101,-16.33935492,-71.61042994,-1933148245,2830693829
I.E Bustamante Sector IV,27,CL27_PP_102,-16.33700773,-71.60961206,-1932882854,2830816956
Losa Deportiva Apipa Sector VIII,27,CL27_PP_103,-16.3331693,-71.61565763,-1932356567,2830181182
Local Social Tupac Amaru Sector 17 Apipa,27,CL27_PP_104,-16.35044083,-71.62988619,-1934206.7,2828344539
Losa Apipa,27,CL27_PP_105,-16.34126197,-71.62446118,-1933196785,2829078342
Parque Sector V,27,CL27_PP_106,-16.33849474,-71.60346761,-1933134309,2831494381
Local Social Sector XI Asociacion De Vivienda,27,CL27_PP_107,-16.35137981,-71.62200788,-1934415.43,2829225485
Local Social De Usos Multiples JLBYR VIII,27,CL27_PP_108,-16.3459412,-71.61794343,-1933827668,2829756692
Local Social Sector 18 Apipa,27,CL27_PP_109,-16.35120881,-71.62723764,-1934329972,2828634839
